Region,Name of the college,Link
Усі регіони,Загальний перелік,https://www.ukraine.uwc.org/schools
Азійсько-Тихоокеанський,UWC Mahindra College,https://www.uwc.org/uwc-mahindra-college
Азійсько-Тихоокеанський,UWC Changshu China,https://www.uwc.org/uwcchangshuchina
Азійсько-Тихоокеанський,UWC Thailand,https://www.uwc.org/uwc-thailand
Азійсько-Тихоокеанський,UWC ISAK Japan,https://www.uwc.org/uwc-isak-japan
Азійсько-Тихоокеанський,UWC South East Asia,https://www.uwc.org/uwc-south-east-asia
Азійсько-Тихоокеанський,Li Po Chun UWC of Hong Kong,https://www.uwc.org/li-po-chun-uwc
Європа,UWC Red Cross Nordic,https://www.uwc.org/rcn
Європа,UWC Dilijan,https://www.uwc.org/uwc-dilijan
Європа,UWC Robert Bosch College,https://www.uwc.org/rbc
Європа,UWC Atlantic,https://www.uwc.org/uwc-atlantic
Європа,UWC Adriatic,https://www.uwc.org/schools/uwc-adriatic
Європа,UWC Mostar,https://www.uwc.org/uwc-mostar
Європа,UWC Maastricht,https://www.uwc.org/uwc-maastricht
Африка,Waterford Kamhlaba UWC of Southern Africa,https://www.uwc.org/waterford-kamhlaba-uwc-of-southern-africa
Африка,UWC East Africa,https://www.uwc.org/uwc-east-africa
Північна та Південна Америка,Pearson College UWC,https://www.uwc.org/pearsoncollegeuwc
Північна та Південна Америка,UWC Costa Rica,https://www.uwc.org/uwc-costarica
Північна та Південна Америка,UWC USA,https://www.uwc.org/usa
