Категорія,Питання,Відповідь
Загальні питання,Що таке UWC?,"United World Colleges (Коледжі об’єднаного світу) - це глобальний освітній рух, місія якого полягає в тому, щоб зробити освіту силою, яка об'єднує людей, нації та культури заради миру та сталого майбутнього.
UWC об'єднує мережу з 18 коледжів на чотирьох континентах та систему національних комітетів, якими керують волонтери у понад 150 країнах світу."
Загальні питання,Що таке Національний комітет?,"Майже кожна країна світу має власний Національний комітет UWC, що складається із випускників програми та волонтерів. Національні комітети проводять щорічні відбори нових учасників, розповсюджують інформацію про рух тощо. Також ми надаємо підтримку студентам, що знаходяться на навчанні зараз, і залишаємося платформою для зв'язку між випускниками програми."
Загальні питання,Де можна знайти більше інформації про коледжі?,"Кожен коледж має власний сайт, на яких детально розказано про життя на кампусі, умови, навчальні програми, та інша корисна інформація."
Загальні питання,Як правильно вимовляти UWC?,"""Ю-дабл'ю-сі""."
Про освітню програму,Що таке Міжнародний бакалаврат?,
Про освітню програму,Де продовжують навчання випускники UWC?,"Практично усі українські випускники продовжують навчання у вишах США або Європи. Цьогоріч, скажімо, наші студенти вступили до Brown University (Ліга Плюща), University of Chicago (топ-10 університетів світу), Yale-NUS та інших. Також серед випсукників маємо студентів Oxford University, Yale Uiversity, University of Maastricht тощо. Переважна більшість випускників UWC отримують стипендії, що покривають до 100% вартості навчання в університеті."
Про освітню програму,Чи визнають диплом Міжнародного бакалаврату в Україні?,"В Україні диплом IBDP не визнають, тож кандидатам, що планують повертатись в Україну, доведеться складати ЗНО. Проте зазвичай наші випускники продовжують навчання за кордоном і лиш потім вирішують, чи повертатися в Україну."
Про відбір,Хто може подавати документи на програму?,"У відборі можуть брати участь учні 10 та 11 класу, віком 16-17 років включно. Апліканти мають бути громадянами України."
Про відбір,Чи обов'язково знати англійську мову та на якому рівні?,"Так, оскільки навчання у UWC відбувається повністю англійською мовою.
Зазвичай наші фіналісти володіють мовою на рівні вище середнього (B2), але ми також маємо фіналістів із рівнем B1, що мають величезну моивацію покращувати свої мовні навички. Більшість коледжів пропонують підготовчі англомовні табори для учнів із нижчим рівнем англійської, тож не хвилюйся, якщо твоя англійська поки що не на бажаному рівні! Мовні навички не є основним критерієм відбору, тож ми запрошуємо кожного спробувати свої сили."
Про відбір,Чи потрібно складати екзамени з математики чи англійської під час відбору?,"Попри те, що у деяких країнах тести зі шкільних предметів є частиною відбору, український відбір таке не практикує. Ми оцінимо твій рівень англійської під час групових завдань та інтерв'ю, а про загальну академічну успішність дізнаємося з твого табелю."
Про відбір,Чи потрібно мені бути фізично присутнім на відборі?,"Ні, весь відбір відбувається онлайн, тож перебування на території України не є обов’язковим. Однак важливо врахувати, що всі етапи, жива взаємодія з комітетом та іншими кандидатами відбуватиметься за київським часом, тож важливо враховувати різницю часу і планувати відповідно."
Про відбір,"Чи можу я подати заявку, якщо зараз беру gap year або навчаюся за програмою FLEX?","Так, якщо ти підходиш за віковими критеріями."
Про відбір,Якими є етапи відбору?,"Відбір складається із чотирьох етапів. З них першим є онлайн-анкета, а решта складається із дискусій, співбесід, групових завдань тощо. Щороку структура відбору трохи змінюється залежно від кількості аплікантів та інших факторів, тож ми надсилатимемо учасникам всю важливу інформацію на їхні електронні адреси."
Про відбір,"Якою мовою відбуваються 2, 3 та 4 етапи?",Групові етапи та інтерв'ю можуть проводитися українською або англійською мовами в залежності від завдання.
Про відбір,Якими є часові рамки відбору?,"Відбір зазвичай розпочинається у вересні-жовтні і завершується у лютому-березні. Щороку точні дати етапів змінюються залежно від кількості аплікантів, спроможності волонтерів національного комітету тощо. Ми надсилатимемо учасникам всю важливу інформацію про таймлайн на їхні електронні адреси."
Про відбір,"Якщо я стану фіналістом, чи зможу я обрати країну навчання?","Ні, фіналісти не мають змоги обирати коледж. Під час відбору ми попросимо учасників надати нам список пріоритетів, проте національний комітет самостійно вирішує, який коледж найкраще пасуватиме фіналісту. Під час ухвалення рішення ми беремо до уваги список пріоритетів, проте немає гарантії, що рішення співпаде із бажанням фіналіста."
Про анкету,Скільки часу займає заповнення анкети?,"Написання есе та коротких відповідей може зайняти від 3-4 годин, але анкета також складається з інших компонентів, таких як рекомендаційні листи та виписки з оцінками, отримання яких займе більше часу. Ці дві складові можуть зайняти до 2-х тижнів, тож варто зайнятись ними одразу від початку відбору.
Також просимо зважити на технічні складнощі, що іноді виникають у кандидатів, коли вони намагаються відправити готову анкету, тож ми НЕ радимо залишати її на останні дні перед дедлайном"
Про анкету,Якою мовою заповнюється анкета?,"Анкета заповнюється англійською мовою, за винятком питань що мають додаткові мовні інструкції.
Вчителі можуть писати рекомендації українською. Проте, якщо вони вільно володіють англійською, просимо відправляти рекомендації англійською для кращого розуміння анкети представниками коледжів."
